tag_id,tag_class,tag_level,tag_name,parent_tag_id,tag_keyword
L2_74,内容标签,2.0,人胰岛素类似物,L1_14,**
L2_75,内容标签,2.0,基础胰岛素,L1_14,**
L2_76,内容标签,2.0,短效/速效胰岛素,L1_14,**
L2_77,内容标签,2.0,预混胰岛素,L1_14,**
L2_78,内容标签,2.0,胰岛素笔/注射器,L1_15,**
L2_79,内容标签,2.0,胰岛素泵,L1_15,**
L2_80,内容标签,2.0,胰岛素使用方法,L1_15,**
L2_81,内容标签,2.0,起始胰岛素治疗,L1_15,**
L2_82,内容标签,2.0,胰岛素强化治疗,L1_15,**
L2_83,内容标签,2.0,糖尿病患者教育,L1_16,**
L2_84,内容标签,2.0,数据统计,L1_17,**
L2_85,内容标签,2.0,临床分析/病例分析,L1_17,**
L2_86,内容标签,2.0,指南,L1_17,**
L2_87,内容标签,2.0,新进展,L1_17,**
L2_88,内容标签,2.0,小贴示,L1_17,**
L2_89,内容标签,2.0,会议,L1_17,**
L2_90,内容标签,2.0,KOL,L1_17,**
L2_91,内容标签,2.0,基层,L1_17,**
L1_1,内容标签,1.0,内分泌科疾病,**,**
L1_2,内容标签,1.0,糖尿病疾病知识,H1_1,**
L1_3,内容标签,1.0,糖尿病诊断,H1_2,**
L1_4,内容标签,1.0,糖尿病临床指标,H1_3,**
L1_5,内容标签,1.0,特定糖尿病患者,**,**
L1_6,内容标签,1.0,特定类型糖尿病患者,H1_4,**
L1_7,内容标签,1.0,血糖评估,H1_5,**
L1_8,内容标签,1.0,并发症/合并症,H1_6,**
L1_9,内容标签,1.0,不良反应,H1_7,**
L1_10,内容标签,1.0,生活方式干预,H1_8,**
L1_11,内容标签,1.0,糖尿病治疗,H1_9,**
L1_12,内容标签,1.0,口服降糖药,H1_10,**
L1_13,内容标签,1.0,GLP1药物,H1_11,**
L1_14,内容标签,1.0,胰岛素药物,H1_12,**
L1_15,内容标签,1.0,胰岛素的应用,H1_13,**
L1_16,内容标签,1.0,糖尿病患者教育,H1_14,**
L1_17,内容标签,1.0,一般资讯,H1_15,**
H1_1,医生标签,,关注糖尿病疾病知识,**,**
H1_2,医生标签,,关注糖尿病诊断,**,**
H1_3,医生标签,,关注糖尿病临床指标,**,**
H1_4,医生标签,,关注特定类型糖尿病患者,**,**
H1_5,医生标签,,关注血糖评估,**,**
H1_6,医生标签,,关注并发症/合并症,**,**
H1_7,医生标签,,关注不良反应,**,**
H1_8,医生标签,,关注生活方式干预,**,**
H1_9,医生标签,,关注糖尿病治疗,**,**
H1_10,医生标签,,关注口服降糖药,**,**
H1_11,医生标签,,关注GLP1药物,**,**
H1_12,医生标签,,关注胰岛素药物,**,**
H1_13,医生标签,,关注胰岛素的应用,**,**
H1_14,医生标签,,关注糖尿病患者教育,**,**
H1_15,医生标签,,关注一般资讯,**,**
