tag_id,tag_name,parent_tag_id,tag_class,tag_level
L2_93,胰岛素使用方法,L1_18,内容标签,2
L2_94,胰岛素笔/注射器,L1_18,内容标签,2
L2_95,针头的使用,L1_18,内容标签,2
L2_96,胰岛素泵,L1_18,内容标签,2
L2_97,如何注射胰岛素,L1_18,内容标签,2
L2_98,胰岛素的保存和携带,L1_18,内容标签,2
L2_99,数据统计,L1_19,内容标签,2
L2_100,临床分析/病例分析,L1_19,内容标签,2
L2_101,指南,L1_19,内容标签,2
L2_102,新进展,L1_19,内容标签,2
L2_103,新闻,L1_19,内容标签,2
L2_104,问答,L1_19,内容标签,2
L2_105,小贴示,L1_19,内容标签,2
L2_106,会议,L1_19,内容标签,2
L2_107,KOL,L1_19,内容标签,2
L2_108,价格资询,L1_19,内容标签,2
L2_109,会员积分相关,L1_19,内容标签,2
L2_110,基层,L1_19,内容标签,2
L1_1,,P1_1,内容标签,1
L1_2,其他内分泌疾病,P1_2,内容标签,1
L1_3,糖尿病诊断,P1_3,内容标签,1
L1_4,糖尿病疾病知识,P1_4,内容标签,1
L1_5,糖尿病前期,P1_5,内容标签,1
L1_6,特定类型糖尿病患者,P1_6,内容标签,1
L1_7,糖尿病临床指标,P1_7,内容标签,1
L1_8,血糖评估,P1_8,内容标签,1
L1_9,并发症/合并症,P1_9,内容标签,1
L1_10,不良反应,P1_10,内容标签,1
L1_11,生活方式干预,P1_11,内容标签,1
L1_12,糖尿病管理,P1_12,内容标签,1
L1_13,糖尿病患者教育,P1_12,内容标签,1
L1_14,糖尿病治疗,P1_13,内容标签,1
L1_15,口服降糖药,P1_14,内容标签,1
L1_16,GLP1药物,P1_15,内容标签,1
L1_17,胰岛素药物,P1_16,内容标签,1
L1_18,胰岛素应用,P1_17,内容标签,1
L1_19,一般资讯,P1_18,内容标签,1
P1_1,,,医生标签,
P1_2,关注其它内分泌疾病,,医生标签,
P1_3,关注糖尿病诊断,,医生标签,
P1_4,关注糖尿病疾病知识,,医生标签,
P1_5,关注糖尿病前期,,医生标签,
P1_6,关注特定类型糖尿病患者,,医生标签,
P1_7,关注糖尿病临床指标,,医生标签,
P1_8,关注血糖评估,,医生标签,
P1_9,关注并发症/合并症,,医生标签,
P1_10,关注不良身体状态/药物不良反应,,医生标签,
P1_11,关注生活方式干预,,医生标签,
P1_12,关注糖尿病管理,,医生标签,
P1_13,关注糖尿病治疗,,医生标签,
P1_14,关注口服降糖药,,医生标签,
P1_15,关注GLP1药物,,医生标签,
P1_16,关注胰岛素药物,,医生标签,
P1_17,关注胰岛素的应用,,医生标签,
P1_18,关注一般资讯,,医生标签,
